set,query_id,channel,rr_V,rank_V,rr_O,rank_O,rr_A,rank_A
gtv2,q_8ea3e37c46abca81,HTV Entertainment,0.0022471910112359553,445,6.2862638847853555e-06,159077,0.125,8
gtv2,q_c928290cb49ef763,60 Giây Official,0.014285714285714285,70,0.16666666666666666,6,1.9425019425019425e-05,51480
gtv2,q_29609e288afe1ab0,HTV Sports,0.006756756756756757,148,2.2022551092318535e-05,45408,0.009345794392523364,107
gtv2,q_b2a8e69a97a9eed1,ViVU TV,0.00909090909090909,110,0.3333333333333333,3,0.00041135335252982314,2431
gtv2,q_618f2b030d8fc5ff,HTV Entertainment,1.0,1,9.194556822361162e-05,10876,2.6899798251513112e-05,37175
gtv2,q_fc037fd63f780c3f,Báo Tuổi Trẻ,0.2,5,1.0,1,7.93178663493952e-06,126075
gtv2,q_3d804ad362363a24,60 Giây Official,0.010101010101010102,99,9.673986649898423e-05,10337,0.3333333333333333,3
gtv2,q_582f344f4527c223,60 Giây Official,0.03571428571428571,28,0.1,10,1.0,1
gtv2,q_3383fd34f115d9d2,HTV Sports,0.006756756756756757,148,2.0990764063811922e-05,47640,7.165428241818872e-06,139559
gtv2,q_78ba6bfb31459588,HTV Sports,0.00423728813559322,236,9.510856642857822e-06,105143,6.646638130433627e-06,150452
gtv2,q_536098e764223ef6,Báo Thanh Niên,0.002890173410404624,346,0.3333333333333333,3,0.1,10
gtv2,q_518630f11e16040a,ViVU TV,0.0002666666666666667,3750,0.5,2,0.25,4
gtv2,q_0ba386b1df7ef80c,HTV Giải Trí,0.2,5,0.00011321181931393638,8833,2.9436006122689274e-05,33972
gtv2,q_7a18d7bc4653fc2e,HTV Entertainment,0.038461538461538464,26,5.752746936662256e-05,17383,0.0017035775127768314,587
gtv2,q_38e7cae732a0ad65,HTV Entertainment,0.5,2,0.0033333333333333335,300,0.3333333333333333,3
gtv2,q_ebaafb3590185e19,Báo Tuổi Trẻ,0.5,2,1.0,1,1.0,1
gtv2,q_688a8b09ad1a8203,60 Giây Official,0.09090909090909091,11,0.0037313432835820895,268,2.15745075618649e-05,46351
gtv2,q_931a1fbc0188d013,60 Giây Official,0.2,5,1.0,1,0.0015625,640
gtv2,q_6b453c0ef6c3f02e,HTV Sports,0.0024330900243309003,411,2.5968629895086736e-05,38508,1.0,1
gtv2,q_9b48798fed5b7efc,ViVU TV,0.0001051635292880429,9509,0.0014792899408284023,676,0.0005263157894736842,1900
gtv2,q_9eb94b304aea0945,HTV Giải Trí,0.004310344827586207,232,0.012048192771084338,83,0.5,2
gtv2,q_3cd0916551175cc4,HTV Entertainment,0.008264462809917356,121,0.14285714285714285,7,0.058823529411764705,17
gtv2,q_68efbb193498d1eb,HTV Entertainment,0.07692307692307693,13,6.518139983574287e-06,153418,2.366415826589048e-05,42258
gtv2,q_9973bca34e7c9d24,Báo Tuổi Trẻ,0.001142857142857143,875,0.058823529411764705,17,0.00034940600978336826,2862
gtv2,q_9828aa6f64ceeda9,60 Giây Official,0.0033003300330033004,303,3.0909990108803164e-05,32352,1.0,1
gtv2,q_e52f2a1597a667d3,60 Giây Official,0.25,4,1.0,1,0.3333333333333333,3
gtv2,q_0284e65d1814066b,HTV Sports,0.025,40,6.602403274792024e-05,15146,1.1628583057154486e-05,85995
gtv2,q_294f8643ac5eb88a,HTV Sports,0.045454545454545456,22,0.00024177949709864604,4136,6.844064826982041e-06,146112
gtv2,q_ae55001d8280bddf,Báo Thanh Niên,7.747133560582585e-05,12908,0.2,5,1.0,1
gtv2,q_774cd1735343e32d,ViVU TV,0.00017828489926903192,5609,0.125,8,1.0,1
gtv2,q_0d969440db0b78d4,HTV Giải Trí,0.002840909090909091,352,7.041360954245237e-06,142018,4.117598616486865e-05,24286
gtv2,q_ab096da793e9c051,HTV Entertainment,0.001388888888888889,720,0.006369426751592357,157,0.5,2
gtv2,q_7291682605fe672c,Báo Tuổi Trẻ,0.1111111111111111,9,0.5,2,0.3333333333333333,3
gtv2,q_f1a5b3ff80f37350,60 Giây Official,0.2,5,2.751031636863824e-05,36350,1.0351002494591601e-05,96609
gtv2,q_a22a6c0895b8a1f5,60 Giây Official,0.017857142857142856,56,0.3333333333333333,3,0.00023293733985557886,4293
gtv2,q_3e487262abea698b,HTV Sports,1.0,1,0.06666666666666667,15,1.0,1
gtv2,q_8b1e429ba55a4100,HTV Sports,0.0013550135501355014,738,8.778089887640449e-05,11392,0.001201923076923077,832
gtv2,q_c409410dd68413d0,Báo Thanh Niên,0.0004391743522178305,2277,0.00026588673225206064,3761,1.3824375138243752e-05,72336
gtv2,q_d990b8e02c813bc2,ViVU TV,0.0004286326618088298,2333,0.1111111111111111,9,0.06666666666666667,15
gtv2,q_d07cd1077526f9ff,HTV Giải Trí,0.043478260869565216,23,7.04324552753909e-06,141980,0.5,2
gtv2,q_cbef9885768f40d9,HTV Entertainment,0.058823529411764705,17,0.5,2,0.3333333333333333,3
gtv2,q_2baf8e30d87b9582,HTV Entertainment,0.0030959752321981426,323,3.0207829869502175e-05,33104,3.17218627077782e-05,31524
gtv2,q_36c365fa21f7c757,Báo Tuổi Trẻ,0.1,10,0.5,2,2.847785846504343e-05,35115
gtv2,q_2d351f663a418bc0,60 Giây Official,0.00022202486678507994,4504,3.8300969014516064e-05,26109,1.0,1
gtv2,q_d0db7095c3964ead,60 Giây Official,1.0,1,1.0,1,0.25,4
gtv2,q_53787c533450cbf3,HTV Sports,0.09090909090909091,11,1.9885459751829462e-05,50288,0.00040584415584415587,2464
gtv2,q_2f105bad76f9611b,Báo Thanh Niên,0.0011560693641618498,865,0.5,2,1.0,1
gtv2,q_72bd58e05f4fca09,ViVU TV,0.0009285051067780873,1077,0.001326259946949602,754,0.010638297872340425,94
gtv2,q_00f95070ab902cae,HTV Giải Trí,0.001145475372279496,873,7.098138867988813e-06,140882,1.4780873549626783e-05,67655
gtv2,q_77285127b41fa8c9,HTV Entertainment,0.3333333333333333,3,0.00041288191577208916,2422,0.013333333333333334,75
gtv2,q_89dce3e1d3ea2ee2,HTV Entertainment,0.003424657534246575,292,0.0029498525073746312,339,0.5,2
gtv2,q_9552f16527f26fb5,Báo Tuổi Trẻ,0.16666666666666666,6,5.929299038267696e-06,168654,0.3333333333333333,3
gtv2,q_1a014eaadcbb690c,HTV Sports,0.5,2,0.0001222195062331948,8182,0.00051440329218107,1944
gtv2,q_a89ec2c88bdb49e1,HTV Sports,0.0010695187165775401,935,0.00011091393078970719,9016,7.545746085644218e-06,132525
gtv2,q_dbf3c052c3d00f54,Báo Thanh Niên,0.027777777777777776,36,0.25,4,0.08333333333333333,12
gtv2,q_104bcc17e555a2fe,ViVU TV,0.00041254125412541255,2424,0.5,2,0.05263157894736842,19
gtv2,q_0855ca1bdeff5648,HTV Giải Trí,0.003236245954692557,309,7.182669654657243e-06,139224,2.531453307343746e-05,39503
gtv2,q_94f8eb8efaf39d8e,HTV Entertainment,0.5,2,0.5,2,0.006211180124223602,161
gtv2,q_24efff864e210f8a,HTV Entertainment,0.0011695906432748538,855,2.2399928320229376e-05,44643,0.01694915254237288,59
gtv2,q_c97b330035625dd0,Báo Tuổi Trẻ,0.3333333333333333,3,0.25,4,0.3333333333333333,3
gtv2,q_8b38d771bb2afb60,HTV Sports,0.0016666666666666668,600,0.0010214504596527069,979,2.358546192127173e-05,42399
gtv2,q_fcb6e2eafa337d09,HTV Sports,0.008771929824561403,114,9.697439875872769e-06,103120,6.354370536054698e-06,157372
gtv2,q_b3bf88ef1c0e962a,ViVU TV,0.000333667000333667,2997,0.0017123287671232876,584,0.5,2
gtv2,q_323ac8d63449fcf2,HTV Entertainment,0.14285714285714285,7,1.772798184654659e-05,56408,1.1661671584004851e-05,85751
gtv2,q_ec28bf8ae01978ee,HTV Entertainment,1.0,1,1.0,1,0.00013502565487442613,7406
gtv2,q_bb0b9bee5079be81,Báo Tuổi Trẻ,0.038461538461538464,26,1.9422001243008078e-05,51488,0.14285714285714285,7
gtv2,q_4b7ffb3dda167f92,HTV Sports,0.05,20,0.0136986301369863,73,1.0,1
gtv2,q_def3ec0b5cbb2812,HTV Sports,0.002421307506053269,413,1.921488000307438e-05,52043,7.017149914390771e-06,142508
gtv2,q_623984e09ad0c3e5,ViVU TV,6.785641582411617e-05,14737,1.4042182716881512e-05,71214,1.0,1
gtv2,q_aa85a190e7a30449,Báo Tuổi Trẻ,0.14285714285714285,7,1.0,1,0.0033112582781456954,302
gtv2,q_28e9ea40e80ba175,HTV Sports,0.001184834123222749,844,9.718172983479106e-05,10290,0.3333333333333333,3
gtv2,q_704fe76947662053,ViVU TV,9.521089212605922e-05,10503,1.4971404617181183e-05,66794,1.1698916680315402e-05,85478
gtv2,q_7c8044db295b255c,Báo Tuổi Trẻ,0.14285714285714285,7,2.8880032345636228e-05,34626,0.2,5
gtv2,q_aac3d9d9c008775e,HTV Sports,0.0016750418760469012,597,1.9150484507258032e-05,52218,6.455444521909779e-06,154908
gtv2,q_e4b66e6ca8f9f37e,HTV Sports,0.005714285714285714,175,0.003703703703703704,270,0.047619047619047616,21
gtv2,q_2bc5353d210c78ca,ViVU TV,0.00012007684918347742,8328,1.0,1,0.0001794043774668102,5574
gtv2,q_f28787cae11ba69a,ViVU TV,9.882399446585631e-05,10119,0.058823529411764705,17,0.5,2
gtv2,q_56655b7b3bb55d22,ViVU TV,7.045230379033395e-05,14194,0.125,8,0.05263157894736842,19
holdout,h_L22_V011_78,60 Giây Official,0.00021786492374727668,4590,1.0,1,0.125,8
holdout,h_L26_V315_105,ViVU TV,0.0005165289256198347,1936,8.431205578085611e-06,118607,0.03225806451612903,31
holdout,h_L25_V053_120,Báo Thanh Niên,0.0002559508574353724,3907,5.9028392656867956e-06,169410,0.0022522522522522522,444
holdout,h_L21_V019_232,60 Giây Official,0.002325581395348837,430,0.004310344827586207,232,0.0010822510822510823,924
holdout,h_L22_V023_120,60 Giây Official,0.003816793893129771,262,5.057657293141817e-05,19772,0.3333333333333333,3
holdout,h_L26_V280_19,ViVU TV,0.00028312570781426955,3532,9.444029956463022e-06,105887,0.5,2
holdout,h_L22_V028_243,60 Giây Official,0.5,2,1.0,1,1.0,1
holdout,h_L26_V436_89,ViVU TV,0.0015384615384615385,650,0.25,4,0.041666666666666664,24
holdout,h_L25_V013_7,Báo Thanh Niên,0.008928571428571428,112,0.3333333333333333,3,1.0,1
holdout,h_L21_V029_222,60 Giây Official,0.0007861635220125787,1272,0.5,2,0.0019083969465648854,524
holdout,h_L26_V360_126,ViVU TV,0.00046948356807511736,2130,5.619871866921434e-05,17794,8.400184804065689e-06,119045
holdout,h_L26_V364_124,ViVU TV,5.1767872858104264e-05,19317,8.367570643215155e-06,119509,0.006369426751592357,157
holdout,h_L26_V091_66,ViVU TV,0.005714285714285714,175,2.9235491887151003e-05,34205,0.03125,32
holdout,h_L21_V023_242,60 Giây Official,0.5,2,0.3333333333333333,3,0.0011806375442739079,847
holdout,h_L22_V017_324,60 Giây Official,1.0,1,0.041666666666666664,24,0.0026246719160104987,381
holdout,h_L26_V455_21,ViVU TV,0.00014005602240896358,7140,0.00015328019619865113,6524,1.9722698854111196e-05,50703
holdout,h_L26_V454_29,ViVU TV,0.0001437607820586544,6956,7.613536868552286e-06,131345,0.5,2
holdout,h_L26_V229_108,ViVU TV,1.0,1,0.2,5,1.9529724240293726e-05,51204
holdout,h_L26_V319_88,ViVU TV,0.1,10,1.0,1,3.8412783774440136e-05,26033
